dbo;IDX998aX;IDX_ID;int;YES;NULL
dbo;IDX998aX;DOC_ID;int;NO;NULL
dbo;INV;INV_ID;int;NO;NULL
dbo;INV;DOC_ID;int;NO;NULL
dbo;INV;T990t;varchar;YES;255
dbo;INV;T090h;varchar;YES;255
dbo;INV;T090e;varchar;YES;255
dbo;INV;T090f;varchar;YES;255
dbo;INV;T090w;varchar;YES;255
dbo;INV;T876c;varchar;YES;255
dbo;INV;T876p;varchar;YES;255
dbo;INV;T020d;varchar;YES;255
dbo;INV;T020e;varchar;YES;255
dbo;INV;T990n;varchar;YES;255
dbo;INV;CNT;int;YES;NULL
dbo;INV;REGDATE;float;YES;NULL
dbo;INV;INVMODE;varchar;YES;1
dbo;INV;CUSTOM1;varchar;YES;255
dbo;INV;CUSTOM2;varchar;YES;255
dbo;INV;CUSTOM3;varchar;YES;255
dbo;INV;CUSTOM4;varchar;YES;255
dbo;INV;CUSTOM5;varchar;YES;255
dbo;INV;INT1;int;YES;NULL
dbo;INV;DATE1;float;YES;NULL
dbo;INV;SOURCE;varchar;YES;255
dbo;INV;SIGLA_ID;int;NO;NULL
dbo;INV;OFFDATE;float;YES;NULL
dbo;INV;NOTES;varchar;YES;255
dbo;INV;WROFFACT;varchar;YES;255
dbo;INV;STATE;int;YES;NULL
dbo;INV;TRACKINDEX;varchar;YES;255
dbo;INV;OLD_INV_ID;int;YES;NULL
dbo;INV;INVP;nvarchar;YES;50
dbo;ko_books;id;int;NO;NULL
dbo;ko_books;ko_disc_id;int;YES;NULL
dbo;ko_books;doc_id;int;YES;NULL
dbo;ko_books;doc_grp;int;YES;NULL
dbo;ko_books;ext_lit;tinyint;YES;NULL
dbo;ko_dict_protos;id;int;NO;NULL
dbo;ko_dict_protos;name;varchar;YES;512
dbo;ko_dict_protos;text;ntext;YES;1073741823
dbo;ko_dict_protos;alias;varchar;YES;512
dbo;ko_dicts;id;int;NO;NULL
dbo;ko_dicts;ko_dict_proto_id;int;YES;NULL
dbo;ko_dicts;int_id;int;YES;NULL
dbo;ko_dicts;value;varchar;YES;512
dbo;ko_disc_protos;id;int;NO;NULL
dbo;ko_disc_protos;name;varchar;YES;512
dbo;ko_disc_protos;var_type;varchar;YES;512
dbo;ko_disc_protos;var_type_data;varchar;YES;512
dbo;ko_discs;id;int;NO;NULL
dbo;ko_discs;name;varchar;YES;512
dbo;ko_discs;name_ext;varchar;YES;512
dbo;ko_discs;text;ntext;YES;1073741823
dbo;ko_discs;cycle_id;int;YES;NULL
dbo;ko_discs;kod;varchar;YES;512
dbo;ko_discs;ko_t2_var_id;int;YES;NULL
dbo;ko_ext_protos;id;int;NO;NULL
dbo;ko_ext_protos;m_type;int;YES;NULL
dbo;ko_ext_protos;name;varchar;YES;512
dbo;ko_ext_protos;var_type;varchar;YES;512
dbo;ko_ext_protos;var_type_data;varchar;YES;512
dbo;ko_model_nodes;id;int;NO;NULL
dbo;ko_model_nodes;parent_id;int;YES;NULL
dbo;ko_model_nodes;m_type;int;YES;NULL
dbo;ko_model_nodes;name;varchar;YES;512
dbo;ko_plans;id;int;NO;NULL
dbo;ko_plans;ko_t3_var_id;int;YES;NULL
