FK__POINTSIGLA__IDP__1AD3FDA4;POINTSIGLA;IDP;BOOKPOINTS;IDP
FK__POINTSIGLA__IDS__1BC821DD;POINTSIGLA;IDS;SIGLAS;ID
FK__RDRBP__IDP__208CD6FA;RDRBP;IDP;BOOKPOINTS;IDP
FK__T6NK_1__LIBS_ID__403A8C7D;T6NK_1;LIBS_ID;LIBS;ID
FK__T6NK_2__LIBS_ID__4316F928;T6NK_2;LIBS_ID;LIBS;ID
FK__T6NK_3__LIBS_ID__45F365D3;T6NK_3;LIBS_ID;LIBS;ID
FK__T6NK_4__LIBS_ID__48CFD27E;T6NK_4;LIBS_ID;LIBS;ID
FK__T6NK_5__LIBS_ID__4BAC3F29;T6NK_5;LIBS_ID;LIBS;ID
FK__T6NK_6__LIBS_ID__4E88ABD4;T6NK_6;LIBS_ID;LIBS;ID
FK__T6NK_7__LIBS_ID__5165187F;T6NK_7;LIBS_ID;LIBS;ID
